Reduction_%,Reduced_ER_Visits,Remaining_ER_Visits,Estimated_Cost_Savings,Remaining_Avoidable_ER_Cost_EUR,Savings_%_of_Total_cost,Savings_per_Member_EUR,Savings_Millions
5.0%,2191,41644,5390410.56,102417800.69,0.0019,108.0,5.390410559999999
10.0%,4383,39452,10780821.13,97027390.13,0.0037,216.0,10.780821130000001
15.0%,6575,37260,16171231.69,91636979.56,0.0056,323.0,16.17123169
20.0%,8767,35068,21561642.25,86246569.0,0.0074,431.0,21.56164225
25.0%,10959,32877,26952052.81,80856158.44,0.0093,539.0,26.952052809999998
